[18:30:48.456] [INFO   ] thread main starting.
[18:30:48.466] [SEVERE ] cannot read configuration file config.properties trying from resources.
[18:30:48.471] [SEVERE ] configuration file was loaded from resources directory.
[18:30:49.085] [INFO   ] thread dealer starting.
[18:30:49.085] [INFO   ] thread player 0 starting.
[18:30:49.085] [INFO   ] thread player 1 starting.
[18:30:49.085] [INFO   ] thread dealer starting.
[18:30:49.085] [INFO   ] thread player 1 starting.
[18:30:49.085] [INFO   ] thread player 0 starting.
[18:30:49.199] [SEVERE ] placing card 1 in slot 0
[18:30:49.305] [SEVERE ] placing card 10 in slot 1
[18:30:49.412] [SEVERE ] placing card 19 in slot 2
[18:30:49.516] [SEVERE ] placing card 31 in slot 3
[18:30:49.624] [SEVERE ] placing card 13 in slot 4
[18:30:49.726] [SEVERE ] placing card 54 in slot 5
[18:30:49.838] [SEVERE ] placing card 77 in slot 6
[18:30:49.946] [SEVERE ] placing card 67 in slot 7
[18:30:50.054] [SEVERE ] placing card 30 in slot 8
[18:30:50.154] [SEVERE ] placing card 69 in slot 9
[18:30:50.256] [SEVERE ] placing card 58 in slot 10
[18:30:50.361] [SEVERE ] placing card 52 in slot 11
[18:30:51.380] [SEVERE ] updating countdown to 5000
[18:30:51.397] [SEVERE ] updating countdown to 4000
[18:30:51.405] [SEVERE ] updating countdown to 3000
[18:30:51.405] [SEVERE ] updating countdown to 2000
[18:30:51.416] [SEVERE ] updating countdown to 1000
[18:30:51.416] [SEVERE ] updating countdown to 0
[18:30:51.421] [SEVERE ] updating countdown to -1000
[18:30:51.426] [SEVERE ] updating countdown to -2000
[18:30:51.429] [SEVERE ] updating countdown to -3000
[18:30:51.429] [SEVERE ] updating countdown to -4000
[18:30:51.436] [SEVERE ] updating countdown to -5000
[18:30:51.437] [SEVERE ] updating countdown to -6000
[18:30:51.437] [SEVERE ] updating countdown to -7000
[18:30:51.437] [SEVERE ] updating countdown to -8000
[18:30:51.446] [SEVERE ] updating countdown to -9000
[18:30:51.446] [SEVERE ] updating countdown to -10000
[18:30:51.446] [SEVERE ] updating countdown to -11000
[18:30:51.455] [SEVERE ] updating countdown to -12000
[18:30:51.458] [SEVERE ] updating countdown to -13000
[18:30:51.458] [SEVERE ] updating countdown to -14000
[18:30:51.462] [SEVERE ] updating countdown to -15000
[18:30:51.462] [SEVERE ] updating countdown to -16000
[18:30:51.466] [SEVERE ] updating countdown to -17000
[18:30:51.469] [SEVERE ] updating countdown to -18000
[18:30:51.471] [SEVERE ] updating countdown to -19000
[18:30:51.471] [SEVERE ] updating countdown to -20000
[18:30:51.471] [SEVERE ] updating countdown to -21000
[18:30:51.476] [SEVERE ] updating countdown to -22000
[18:30:51.479] [SEVERE ] updating countdown to -23000
[18:30:51.479] [SEVERE ] updating countdown to -24000
[18:30:51.479] [SEVERE ] updating countdown to -25000
[18:30:51.479] [SEVERE ] updating countdown to -26000
[18:30:51.487] [SEVERE ] updating countdown to -27000
[18:30:51.489] [SEVERE ] updating countdown to -28000
[18:30:51.489] [SEVERE ] updating countdown to -29000
[18:30:51.489] [SEVERE ] updating countdown to -30000
[18:30:51.495] [SEVERE ] updating countdown to -31000
[18:30:51.495] [SEVERE ] updating countdown to -32000
[18:30:51.495] [SEVERE ] updating countdown to -33000
[18:30:51.495] [SEVERE ] updating countdown to -34000
[18:30:51.495] [SEVERE ] updating countdown to -35000
[18:30:51.506] [SEVERE ] updating countdown to -36000
[18:30:51.506] [SEVERE ] updating countdown to -37000
[18:30:51.506] [SEVERE ] updating countdown to -38000
[18:30:51.512] [SEVERE ] updating countdown to -39000
[18:30:51.512] [SEVERE ] updating countdown to -40000
[18:30:51.516] [SEVERE ] updating countdown to -41000
[18:30:51.516] [SEVERE ] updating countdown to -42000
[18:30:51.521] [SEVERE ] updating countdown to -43000
[18:30:51.521] [SEVERE ] updating countdown to -44000
[18:30:51.521] [SEVERE ] updating countdown to -45000
[18:30:51.526] [SEVERE ] updating countdown to -46000
[18:30:51.529] [SEVERE ] updating countdown to -47000
[18:30:51.529] [SEVERE ] updating countdown to -48000
[18:30:51.529] [SEVERE ] updating countdown to -49000
[18:30:51.529] [SEVERE ] updating countdown to -50000
[18:30:51.529] [SEVERE ] updating countdown to -51000
[18:30:51.535] [SEVERE ] updating countdown to -52000
[18:30:51.537] [SEVERE ] updating countdown to -53000
[18:30:51.537] [SEVERE ] updating countdown to -54000
[18:30:51.540] [SEVERE ] updating countdown to -55000
[18:30:51.540] [SEVERE ] updating countdown to -56000
[18:30:51.540] [SEVERE ] updating countdown to -57000
[18:30:51.540] [SEVERE ] updating countdown to -58000
[18:30:51.540] [SEVERE ] updating countdown to -59000
[18:30:51.545] [SEVERE ] updating countdown to -60000
[18:30:51.545] [SEVERE ] updating countdown to -61000
[18:30:51.545] [SEVERE ] updating countdown to -62000
[18:30:51.545] [SEVERE ] updating countdown to -63000
[18:30:51.545] [SEVERE ] updating countdown to -64000
[18:30:51.545] [SEVERE ] updating countdown to -65000
[18:30:51.554] [SEVERE ] updating countdown to -66000
[18:30:51.556] [SEVERE ] updating countdown to -67000
[18:30:51.556] [SEVERE ] updating countdown to -68000
[18:30:51.558] [SEVERE ] updating countdown to -69000
[18:30:51.558] [SEVERE ] updating countdown to -70000
[18:30:51.558] [SEVERE ] updating countdown to -71000
[18:30:51.562] [SEVERE ] updating countdown to -72000
[18:30:51.562] [SEVERE ] updating countdown to -73000
[18:30:51.562] [SEVERE ] updating countdown to -74000
[18:30:51.562] [SEVERE ] updating countdown to -75000
[18:30:51.566] [SEVERE ] updating countdown to -76000
[18:30:51.566] [SEVERE ] updating countdown to -77000
[18:30:51.566] [SEVERE ] updating countdown to -78000
[18:30:51.566] [SEVERE ] updating countdown to -79000
[18:30:51.570] [SEVERE ] updating countdown to -80000
[18:30:51.570] [SEVERE ] updating countdown to -81000
[18:30:51.570] [SEVERE ] updating countdown to -82000
[18:30:51.570] [SEVERE ] updating countdown to -83000
[18:30:51.570] [SEVERE ] updating countdown to -84000
[18:30:51.576] [SEVERE ] updating countdown to -85000
[18:30:51.578] [SEVERE ] updating countdown to -86000
[18:30:51.578] [SEVERE ] updating countdown to -87000
[18:30:51.578] [SEVERE ] updating countdown to -88000
[18:30:51.578] [SEVERE ] updating countdown to -89000
[18:30:51.578] [SEVERE ] updating countdown to -90000
[18:30:51.578] [SEVERE ] updating countdown to -91000
[18:30:51.578] [SEVERE ] updating countdown to -92000
[18:30:51.586] [SEVERE ] updating countdown to -93000
[18:30:51.586] [SEVERE ] updating countdown to -94000
